company_name,address,email,phone_number,website
STYLIDIS,"Giannitson 108, 546 27, Thessaloniki",info@stilidis.gr,2310527520,https://www.stilidis.gr
SUNLIGHT S.A.,"Ermou 2 & Nikis, 105 63, Athens",info@sunlight.gr,2106245400,https://www.sunlight.gr
SUNLIGHT TECHNOSYSTEMS,"Gallikos, 611 00",info@sunlight.gr,2341 063095,https://www.the-sunlight-group.com/el/global
Sylco Hellas K Sylaios SA,Voreia Parapevri Egnatias & K Sylaiou 1 57013 Oreokastro,nikos@i-sylco.gr,2310515122,https://www.i-sylco.gr/
TECHNOMETAL Orfanidis EE,"Industrial area of Sindos, OT 36, NB6 road, 57022, Thessaloniki, Greece",info@technometal.eu,2310 796 668,http://www.technometal.eu/
TEK Ltd.,"8 km Ptolemaida - Florina, 502 00, Ptolemaida",tek@otenet.gr,2463077677-8,
TEMMA S.A.,"Polykratous 52, 104 42 Athens",info@temma.gr,"2105148153, 2105140110",https://www.temma.gr
TEOTEC,"138-140 Kifissou Avenue, 121 31, Peristeri, Attica",info@teotec.gr,2105786880,
THALES HELLAS,"48 Konstantinoupoleos str.194 41, Koropi,Greece",central.gr@thalesgroup.com,+30 2106684200,https://www.thalesgroup.com
TNL,"Akti Miouli & 2 Kantharou Str.,18537, Piraeus, Attica, Greece",info@tnlcom.gr,2104121566,https://www.tnlcom.gr/
TotalView,"47 Digeni Akrita str., 122 43, Aigaleo",info@totalview.gr,+30 2105912644,https://www.totalview.gr
TRYGONS Drones,"Area 1031, Keratea Industrial Park, P.C. 19001,  Greece",info@trygons-tech.com,2299068649,trygons-tech.com & trygons.com
TURBOMED S.A.,"Vipas (Schisto Industrial Park) Str. 1, No 2, 18863 Perama , Greece",turbomed@otenet.gr,2104000111,http://www.turbomed.gr/
UTECO ABEE,"5-7 M. Mavrogenous str., GR18542, Piraeus",uteco@uteco.gr,+302111206900,www.uteco.gr
VALPAC,"7 Palaion Patrones Germano 7, 105 61, Athens, Greece",info@valpak.gr,2103232538,https://www.valpak.gr
Vector Technologies,"45 Agiasou str, Vrilissia 152 35",gkoukas@vectortechnologies.gr,+30 210 68 58008,https://www.vectortechnologies.gr
Velos Rotors,Stamatouli 3A,info@velos-rotors.com,+30 27430 27761,https://velos-rotors.com/
VIKING Life-Saving Equipment Hellas S.M. S.A.,7th Kilometre Old National Road Thebes to Chalkis 32200,norsafe.hellas@viking-life.com,+30 2262022441,https://www.viking-life.com/en/defence
VIPPON,THESI KONTITA 32009 INOFITA VIOTIA-GREECE,kalafat@vippon.gr,22620 31971,https://www.vippon.gr
Whitesteps Technologies,"Agias Varvaras 61, 15231 Halandri",info@whitesteps.com,+30 2106834124,whitesteps.com
WINGS ICT Solutions,"189, Siggrou Avenue, 17121 Athens",info@wings-ict-solutions.eu,2155011555,www.wings-ict-solutions.eu/
Z.MANTOS,"Verykokkias 3, 136 71, Acharnai",info@mantos.gr,"2102402791 , 2102402792 , 2102402793",https://www.mantos.gr
ZARIFOPOULOS,"Δωδεκανήσου 14, 142 35, Νέα Ιωνία",marketing@zarifopoulos.com,2102713970,https://www.zarifopoulos.com
ZOIS EFSTATHIOU S.A.,"57, Poseidonos Avenue, 183 44 Moschato – Attiki",zois@zois.gr,210 9409828,https://zois.gr
IKNOWHOW S.A,"Kifisias Av. 340, 154 51 Athens",info@iknowhow.com,2106041425,https://www.iknowhow.com/
ΑΚΤΙΒ ΚΟΜΠΙΟΥΤΕΡ ΣΥΣΤΕΜΣ Α.Ε,"Τσικλητήρα 15, Ν. Ηράκλειο, 14121",sales@active.gr,2106577900,http://www.active.gr/
AFOI D. AMPATZIDIS & CO.,"Kambani - 61100, Kilkis",info@ampatzidis.com,2341041998,https://www.ampatzidis.com
ΑΦΟΙ ΣΠΑΡΙΔΗ ΟΕ/SHIPBOILER G.P.C,Λ. ΔΗΜΟΚΡΑΤΙΑΣ 83 ΠΕΡΑΜΑ,shipboiler@shipboiler.gr,+30 2104020031,www.shipboiler.gr
ΒΕΡΒΕΡΑΚΗΣ & ΣΙΑ ΕΕ,"ΒΑΣΙΛΑΔΙΟΥ 7, ΠΕΙΡΑΙΑΣ, 185 40",info@cnc-ververakis.gr,6946831488 - 211 1178144,www.cnc-ververakis.gr
GENME I. LENTOUDIS A.E.V.E.,"Naxos 6 & Iera Odos 150, 122 42, Egaleo",info@genme-sa.com,2103453141,https://www.genme-sa.com
ΕΚΜΕ Α.Ε.,"6 Sofias Vempo Str, PC 570 08, Delta Municipality, Thessaloniki, Greece",ekme@ekme.gr,2310755260,https://www.ekme.gr
ΕΛΒΟ,ΒΙ.ΠΕ.Θ. ΣΙΝΔΟΣ,info@elvo.gr,,elvo.gr
ΕΤΜΕ,"2 Kritis St., Neo Psichiko, GR 15451",secretary@etme.gr,2110163650,https://www.etme.gr/
Ι.ΝΙΚΟΛΙΤΣΗΣ & ΣΙΑ Ε.Ε.  “DYNAMIC”,ΑΚΤΗ ΜΙΑΟΥΛΗ 5 ΠΕΙΡΑΙΑΣ,purchasing@dynamicco.com,2104129609,https://dynamicco.com/
"ΙΧΩΡ ΙΚΕ Συστημάτων υψηλής τεχνολογίας, κατασκευών & παροχής εξειδικευμένων υπηρεσιών","Ερμού 18 & Βασιλέως. Γεωργίου Β’ 40, Γλυφάδα  ΤΚ 16674 ΕΛΛΑΣ",info@ihor.com.gr,"+30 (210) 7104467, +30 (210) 7104468",www.ihor.com.gr
Κ. ΣΙΑΜΙΔΗΣ Α.Ε.,"Βιομηχανική Ζώνη Οινόφυτα, 320 11, Βοιωτία",info@siamidis.gr,2262032992,https://www.siamidis.eu
"ΛΑΖΑΡΟΥ, Γ. ΑΦΟΙ Ο.Ε.","Πίνδου 13, 182 33, Άγιος Ιωάννης Ρέντης",vanalazarou@yahoo.gr,2105692720,
Ν. ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ Ο.Ε.,"Μακρυγιάννη 120, 183 46, Μοσχάτο",halyvas@otenet.gr,2104827670,
Πλάνετεκ Ελλάς Ε.Π.Ε.,"Λεωφόρος Κηφισίας 44 (Monumental Plaza, Κτήριο Γ 5ος όροφος),  ΤK 15125 Μαρούσι, Αθήνα, Ελλάδα",info@planetek.gr,+30 2152157390,www.planetek.gr
ΤΕΧΝΟΛΟΓΙΕΣ ΕΝΤΟΛΗΣ ΕΛΕΓΧΟΥ ΕΠΙΚΟΙΝΩΝΙΩΝ Α.Β.Ε.Ε.,"Kilkis Industrial Area, 611 00, Kilkis",c3t@the.forthnet.gr,2341071947,https://www.c3t.gr
Χ. & Δ. ΟΡΦΑΝΙΔΗΣ Α.Β.Ε.Ε.,Ιωνος Δραγούμη 26 - Ιωνία  (Ν. Μαγνησία)  Τ.Κ. 570 08 Θεσσαλονίκη,info@orfanidis.eu,2310 781265,www.orfanidis.eu
